LIBID	subj_region	mol_type
MHS328	SMT021_Ch	RNA
MHS329	SMT021_Ac	RNA
MHS330	SMT021_Vf	RNA
MHS331	SMT017_Ch	RNA
MHS332	SMT017_Tw	RNA
MHS333	SMT013_Sc	RNA
MHS334	SMT013_Ac	RNA
MHS335	SMT013_Vf	RNA
MHS336	SMT008_Ac	RNA
MHS337	SMT008_Vf	RNA
MHS338	SMT006_Vf	RNA
MHS372	SMT021_Tw	RNA
MHS373	SMT017_Sc	RNA
MHS374	SMT013_Ch	RNA
MHS375	SMT013_Tw	RNA
MHS376	SMT008_Sc	RNA
MHS377	SMT008_Tw	RNA
MHS378	SMT006_Sc	RNA
MHS379	SMT006_Ch	RNA
MHS380	SMT006_Ac	RNA
MHS406	SMT021_Sc	RNA
SMT028_T1_Ac	SMT028_T1_Ac	RNA
SMT028_T1_Ch	SMT028_T1_Ch	RNA
SMT028_T1_Sc	SMT028_T1_Sc	RNA
SMT028_T1_Tw	SMT028_T1_Tw	RNA
SMT028_T1_Vf	SMT028_T1_Vf	RNA
SMT028_T2_Ch	SMT028_T2_Ch	RNA
SMT028_T2_Sc	SMT028_T2_Sc	RNA
SMT028_T2_Tw	SMT028_T2_Tw	RNA
SMT028_T2_Vf	SMT028_T2_Vf	RNA
SMT028_T3_Ch	SMT028_T3_Ch	RNA
SMT028_T3_Sc	SMT028_T3_Sc	RNA
SMT028_T3_Tw	SMT028_T3_Tw	RNA
SMT029_T1_Ac	SMT029_T1_Ac	RNA
SMT029_T1_Ch	SMT029_T1_Ch	RNA
SMT029_T1_Sc	SMT029_T1_Sc	RNA
SMT029_T1_Tw	SMT029_T1_Tw	RNA
SMT029_T1_Vf	SMT029_T1_Vf	RNA
SMT029_T2_Ac	SMT029_T2_Ac	RNA
SMT029_T2_Ch	SMT029_T2_Ch	RNA
SMT029_T2_Sc	SMT029_T2_Sc	RNA
SMT029_T2_Tw	SMT029_T2_Tw	RNA
SMT029_T2_Vf	SMT029_T2_Vf	RNA
SMT029_T3_Ac	SMT029_T3_Ac	RNA
SMT029_T3_Ch	SMT029_T3_Ch	RNA
SMT029_T3_Sc	SMT029_T3_Sc	RNA
SMT029_T3_Tw	SMT029_T3_Tw	RNA
SMT029_T3_Vf	SMT029_T3_Vf	RNA
SMT030_T1_Ac	SMT030_T1_Ac	RNA
SMT030_T1_Ch	SMT030_T1_Ch	RNA
SMT030_T1_Sc	SMT030_T1_Sc	RNA
SMT030_T1_Tw	SMT030_T1_Tw	RNA
SMT030_T1_Vf	SMT030_T1_Vf	RNA
SMT030_T2_Ac	SMT030_T2_Ac	RNA
SMT030_T2_Ch	SMT030_T2_Ch	RNA
SMT030_T2_Sc	SMT030_T2_Sc	RNA
SMT030_T2_Tw	SMT030_T2_Tw	RNA
SMT030_T2_Vf	SMT030_T2_Vf	RNA
SMT030_T3_Ac	SMT030_T3_Ac	RNA
SMT030_T3_Ch	SMT030_T3_Ch	RNA
SMT030_T3_Sc	SMT030_T3_Sc	RNA
SMT030_T3_Tw	SMT030_T3_Tw	RNA
SMT030_T3_Vf	SMT030_T3_Vf	RNA
