subj_region	mtx_LIBID	mtx_MICROBE_COUNT	region	mgx_LIBID	mgx_MICROBE_COUNT
SMT021_Sc	MHS406	4136354	Sc	MHS463	2256831
SMT021_Tw	MHS372	7914564	Tw	MHS467	8147435
SMT021_Vf	MHS330	1108877	Vf	MHS466	10925116
SMT022_Ch	MHS405	3769853	Ch	MHS560	6982371
SMT023_Ac	MHS416	5036425	Ac	MHS469	8998867
SMT023_Ch	MHS415	6209044	Ch	MHS471	20947842
SMT023_Sc	MHS414	3567523	Sc	MHS468	981390
SMT023_Tw	MHS347	2796159	Tw	MHS472	6961325
SMT024_Ac	MHS362	3664701	Ac	MHS535	1278880
SMT024_Ch	MHS430	3307027	Ch	MHS534	8900439
SMT024_Sc	MHS429	3750760	Sc	MHS533	15898226
SMT024_Vf	MHS363	2507223	Vf	MHS536	7019271
SMT025_Ac	MHS366	4103796	Ac	MHS556	2381786
SMT025_Ch	MHS438	3509598	Ch	MHS555	10663792
SMT025_Sc	MHS437	2702464	Sc	MHS554	2299694
SMT026_Ac	MHS441	1362669	Ac	MHS571	320371
SMT026_Ch	MHS594	10285615	Ch	MHS572	9900542
SMT026_Sc	MHS440	5797046	Sc	MHS570	4412180
SMT026_Tw	MHS402	8268530	Tw	MHS574	14457849
SMT026_Vf	MHS368	4060152	Vf	MHS573	7139335
SMT027_Ac	MHS593	11501814	Ac	MHS576	6312679
SMT027_Ch	MHS439	4041495	Ch	MHS577	4623184
SMT027_Sc	MHS399	2704289	Sc	MHS575	1475726
SMT027_Vf	MHS367	4511286	Vf	MHS578	8244474
