LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT
MHS483	22220407	21560489	0.120352	9231782	81.60	173335	9058447	9057165
MHS484	22810786	22056016	0.121117	2497370	57.94	386345	2111025	2110063
MHS485	22994305	22372573	0.165687	8206007	57.30	1413088	6792919	6789873
MHS486	23202530	22589822	0.242079	13084674	38.88	3166623	9918051	9907005
MHS487	22471733	21841862	0.0995507	555566	60.63	38967	516599	516434
MHS488	25952936	25389826	0.10105	6860417	84.40	119389	6741028	6740061
MHS489	19952533	19526028	0.14763	7858439	74.20	3138897	4719542	4717597
MHS490	18158387	17677934	0.126212	5376610	50.38	1188717	4187893	4184876
MHS491	28846032	28169282	0.131705	21392440	27.04	9979176	11413264	11393821
MHS492	17775873	17341976	0.098712	6234103	80.92	528340	5705763	5704803
MHS493	30056616	29679902	0.100639	17020519	83.57	35075	16985444	16981902
MHS494	25221758	24623545	0.179703	5742334	37.68	1276795	4465539	4463037
MHS495	22340690	21798635	0.133307	8535102	68.54	525237	8009865	8007433
MHS496	25504758	24924762	0.19009	13923700	56.56	1959039	11964661	11956331
MHS497	21449133	20941441	0.0999502	2333557	76.90	598869	1734688	1731956
MHS498	31215452	30658311	0.0899792	8257696	85.97	108176	8149520	8148080
MHS499	20114445	19701719	0.124576	11902197	48.71	912083	10990114	10984156
MHS500	41771975	41017962	0.223417	21667049	51.66	4031742	17635307	17621337
MHS501	24625505	24186410	0.11978	16993794	57.74	3215846	13777948	13766813
MHS502	19747583	19340024	0.106716	3321719	66.05	207490	3114229	3113281
MHS503	22392853	21897603	0.0979776	1417411	71.45	106260	1311151	1310772
MHS504	19142447	18582426	0.101375	9273967	69.36	258084	9015883	9014862
MHS505	19707872	19258477	0.153918	8347210	59.95	1126985	7220225	7216490
MHS506	24791061	24186416	0.114155	16917625	63.39	2473422	14444203	14430523
MHS507	20475195	19913949	0.104967	4507130	72.84	1319128	3188002	3186540
MHS508	22339832	21686177	0.0970244	6184056	74.76	563506	5620550	5618472
MHS509	22901432	22325357	0.177357	6764694	46.86	619028	6145666	6143248
MHS510	24497162	23827917	0.239479	9725002	42.76	2405621	7319381	7314872
MHS511	22949323	22297763	0.146507	14913088	56.05	2868439	12044649	12034505
MHS512	6506489	6301856	2.81366e-05					0
MHS513	13400358	12836272	0.0756864	232581	68.29	15119	217462	217310
MHS514	32827735	32358183	0.0820745	4003093	85.22	82114	3920979	3920350
MHS515	24253774	23585534	0.117775	8196386	53.32	1422708	6773678	6770034
MHS516	22512423	21968733	0.0911842	3595105	41.25	987607	2607498	2604869
MHS517	22579157	22054512	0.0908679	1039311	67.25	45472	993839	993593
MHS518	23786422	23295572	0.0833935	751285	59.17	55296	695989	695698
MHS519	25436698	24719221	0.108143	3926034	26.06	1432212	2493822	2492028
MHS520	21969570	21507126	0.127196	6656266	33.25	2724980	3931286	3928458
MHS521	22647205	22240888	0.124961	12096525	58.79	1807299	10289226	10283283
MHS522	29738778	29221778	0.0949048	972891	78.79	132417	840474	840094
MHS523	30206767	29731042	0.089572	15012016	86.86	141865	14870151	14868795
MHS524	1346657	1085161	0.236678	689121	43.82	126240	562881	562451
MHS525	23542133	22998712	0.0952341	10974747	78.50	325081	10649666	10648608
MHS526	22151195	21635535	0.0978716	4544071	59.33	512707	4031364	4029856
MHS527	26959152	26574305	0.104279	14493526	72.72	1222270	13271256	13250650
MHS528	34727858	34234497	0.0981242	4490813	81.28	646950	3843863	3842890
MHS529	29101880	28604248	0.0896407	13690661	85.20	278988	13411673	13409717
MHS530	24934541	24403260	0.106092	4861787	66.59	529039	4332748	4331129
MHS531	22700284	22278557	0.0960281	5281271	63.86	939659	4341612	4339206
MHS532	17164800	16826783	0.100207	8323543	64.29	719498	7604045	7599586
MHS533	22674346	22162688	0.0892121	16500925	78.81	599708	15901217	15898226
MHS534	33405836	32856661	0.0855024	9170375	82.78	266702	8903673	8900439
MHS535	18682134	18302965	0.0860329	1800198	44.04	514420	1285778	1278880
MHS536	28138155	27435277	0.10041	12763960	41.40	5675506	7088454	7019271
MHS537	28107917	27671712	0.108641	11092336	25.00	4892501	6199835	6181349
