name	reported_for_skin_disease_in_disbiome	MTX_neg_ctrl	MGX_neg_ctrl	reported_on_skin_in_microphenoDB	pubmed_skin_microbiome
Delftia	FALSE	TRUE	TRUE	FALSE	TRUE
Acidovorax	FALSE	TRUE	TRUE	FALSE	FALSE
Comamonas	TRUE	TRUE	TRUE	TRUE	FALSE
Variovorax	FALSE	TRUE	TRUE	FALSE	TRUE
Diaphorobacter	FALSE	TRUE	FALSE	FALSE	FALSE
Polynucleobacter	FALSE	TRUE	FALSE	FALSE	FALSE
Burkholderia	TRUE	TRUE	TRUE	FALSE	FALSE
Massilia	FALSE	TRUE	TRUE	FALSE	FALSE
Methylobacterium	TRUE	TRUE	TRUE	TRUE	FALSE
Methylorubrum	FALSE	TRUE	TRUE	FALSE	FALSE
Mesorhizobium	FALSE	TRUE	TRUE	FALSE	FALSE
Bradyrhizobium	FALSE	TRUE	TRUE	FALSE	FALSE
Rhizobium	TRUE	TRUE	TRUE	FALSE	FALSE
Sphingomonas	TRUE	TRUE	TRUE	TRUE	TRUE
Sphingobium	TRUE	TRUE	TRUE	FALSE	FALSE
Novosphingobium	TRUE	TRUE	TRUE	FALSE	FALSE
Sphingopyxis	FALSE	TRUE	FALSE	FALSE	FALSE
Brevundimonas	FALSE	TRUE	TRUE	FALSE	FALSE
Caulobacter	FALSE	TRUE	FALSE	FALSE	FALSE
Roseomonas	TRUE	TRUE	TRUE	TRUE	TRUE
Pseudomonas	TRUE	TRUE	TRUE	TRUE	TRUE
Acinetobacter	TRUE	TRUE	TRUE	TRUE	TRUE
Moraxella	TRUE	TRUE	TRUE	TRUE	TRUE
Klebsiella	TRUE	TRUE	TRUE	TRUE	TRUE
Stenotrophomonas	TRUE	TRUE	TRUE	TRUE	FALSE
Aeromonas	FALSE	TRUE	FALSE	TRUE	FALSE
Cutibacterium	TRUE	TRUE	TRUE	TRUE	TRUE
Nocardioides	TRUE	TRUE	TRUE	FALSE	FALSE
Micrococcus	TRUE	TRUE	TRUE	TRUE	TRUE
Microbacterium	FALSE	TRUE	TRUE	FALSE	FALSE
Dermacoccus	TRUE	TRUE	FALSE	TRUE	TRUE
Mycobacterium	TRUE	TRUE	TRUE	TRUE	FALSE
Mycolicibacterium	FALSE	TRUE	TRUE	FALSE	FALSE
Corynebacterium	TRUE	TRUE	TRUE	TRUE	TRUE
Streptomyces	FALSE	TRUE	TRUE	FALSE	FALSE
Staphylococcus	TRUE	TRUE	TRUE	TRUE	TRUE
Malassezia	TRUE	TRUE	TRUE	TRUE	TRUE
Rhodopseudomonas	FALSE	TRUE	FALSE	FALSE	FALSE
Bosea	FALSE	TRUE	TRUE	FALSE	FALSE
Rickettsia	FALSE	TRUE	FALSE	FALSE	FALSE
Streptococcus	TRUE	TRUE	FALSE	TRUE	TRUE
Chryseobacterium	FALSE	TRUE	TRUE	FALSE	TRUE
Hymenobacter	FALSE	TRUE	FALSE	FALSE	FALSE
Aspergillus	TRUE	TRUE	FALSE	TRUE	TRUE
Cupriavidus	TRUE	TRUE	TRUE	TRUE	FALSE
Enterococcus	TRUE	TRUE	FALSE	TRUE	TRUE
Escherichia	FALSE	FALSE	TRUE	TRUE	TRUE
Achromobacter	FALSE	FALSE	TRUE	FALSE	FALSE
Bordetella	FALSE	FALSE	TRUE	FALSE	FALSE
Rhodoferax	FALSE	FALSE	TRUE	FALSE	FALSE
Hydrogenophaga	FALSE	FALSE	TRUE	FALSE	FALSE
Ralstonia	TRUE	FALSE	TRUE	FALSE	FALSE
Paraburkholderia	FALSE	FALSE	TRUE	FALSE	FALSE
Enterobacter	TRUE	FALSE	TRUE	TRUE	TRUE
Serratia	TRUE	FALSE	TRUE	TRUE	FALSE
Halomonas	TRUE	FALSE	TRUE	FALSE	FALSE
Shinella	FALSE	FALSE	TRUE	FALSE	FALSE
Sinorhizobium	FALSE	FALSE	TRUE	FALSE	FALSE
Rhodococcus	TRUE	FALSE	TRUE	FALSE	FALSE
Pseudonocardia	FALSE	FALSE	TRUE	TRUE	FALSE
Egicoccus	FALSE	FALSE	TRUE	FALSE	FALSE
Brucella	FALSE	FALSE	TRUE	FALSE	FALSE
Paracoccus	TRUE	FALSE	TRUE	FALSE	TRUE
Kocuria	TRUE	FALSE	TRUE	TRUE	FALSE
Janibacter	FALSE	FALSE	TRUE	FALSE	FALSE
Elizabethkingia	FALSE	FALSE	TRUE	FALSE	FALSE
Yarrowia	FALSE	FALSE	TRUE	FALSE	FALSE
Citrobacter	FALSE	FALSE	TRUE	FALSE	FALSE
Gordonia	TRUE	FALSE	TRUE	FALSE	FALSE
Brevibacterium	TRUE	FALSE	TRUE	TRUE	FALSE
Xanthomonas	TRUE	TRUE	FALSE	FALSE	FALSE
Lawsonella	FALSE	TRUE	FALSE	FALSE	TRUE
