id,read1,read2
MHS371,MHS371_merged_decont_1.fastq.gz,MHS371_merged_decont_2.fastq.gz
MHS412,MHS412_merged_decont_1.fastq.gz,MHS412_merged_decont_2.fastq.gz
MHS391,MHS391_merged_decont_1.fastq.gz,MHS391_merged_decont_2.fastq.gz
MHS349,MHS349_merged_decont_1.fastq.gz,MHS349_merged_decont_2.fastq.gz
MHS350,MHS350_merged_decont_1.fastq.gz,MHS350_merged_decont_2.fastq.gz
MHS393,MHS393_merged_decont_1.fastq.gz,MHS393_merged_decont_2.fastq.gz
MHS351,MHS351_merged_decont_1.fastq.gz,MHS351_merged_decont_2.fastq.gz
MHS598,MHS598_merged_decont_1.fastq.gz,MHS598_merged_decont_2.fastq.gz
MHS380,MHS380_merged_decont_1.fastq.gz,MHS380_merged_decont_2.fastq.gz
MHS378,MHS378_merged_decont_1.fastq.gz,MHS378_merged_decont_2.fastq.gz
MHS338,MHS338_merged_decont_1.fastq.gz,MHS338_merged_decont_2.fastq.gz
MHS336,MHS336_merged_decont_1.fastq.gz,MHS336_merged_decont_2.fastq.gz
MHS376,MHS376_merged_decont_1.fastq.gz,MHS376_merged_decont_2.fastq.gz
MHS337,MHS337_merged_decont_1.fastq.gz,MHS337_merged_decont_2.fastq.gz
MHS358,MHS358_merged_decont_1.fastq.gz,MHS358_merged_decont_2.fastq.gz
MHS423,MHS423_merged_decont_1.fastq.gz,MHS423_merged_decont_2.fastq.gz
MHS421,MHS421_merged_decont_1.fastq.gz,MHS421_merged_decont_2.fastq.gz
MHS425,MHS425_merged_decont_1.fastq.gz,MHS425_merged_decont_2.fastq.gz
MHS424,MHS424_merged_decont_1.fastq.gz,MHS424_merged_decont_2.fastq.gz
MHS333,MHS333_merged_decont_1.fastq.gz,MHS333_merged_decont_2.fastq.gz
MHS360,MHS360_merged_decont_1.fastq.gz,MHS360_merged_decont_2.fastq.gz
MHS408,MHS408_merged_decont_1.fastq.gz,MHS408_merged_decont_2.fastq.gz
MHS342,MHS342_merged_decont_1.fastq.gz,MHS342_merged_decont_2.fastq.gz
MHS364,MHS364_merged_decont_1.fastq.gz,MHS364_merged_decont_2.fastq.gz
MHS373,MHS373_merged_decont_1.fastq.gz,MHS373_merged_decont_2.fastq.gz
MHS443,MHS443_merged_decont_1.fastq.gz,MHS443_merged_decont_2.fastq.gz
MHS442,MHS442_merged_decont_1.fastq.gz,MHS442_merged_decont_2.fastq.gz
MHS369,MHS369_merged_decont_1.fastq.gz,MHS369_merged_decont_2.fastq.gz
MHS387,MHS387_merged_decont_1.fastq.gz,MHS387_merged_decont_2.fastq.gz
MHS385,MHS385_merged_decont_1.fastq.gz,MHS385_merged_decont_2.fastq.gz
MHS343,MHS343_merged_decont_1.fastq.gz,MHS343_merged_decont_2.fastq.gz
MHS329,MHS329_merged_decont_1.fastq.gz,MHS329_merged_decont_2.fastq.gz
MHS330,MHS330_merged_decont_1.fastq.gz,MHS330_merged_decont_2.fastq.gz
MHS416,MHS416_merged_decont_1.fastq.gz,MHS416_merged_decont_2.fastq.gz
MHS362,MHS362_merged_decont_1.fastq.gz,MHS362_merged_decont_2.fastq.gz
MHS429,MHS429_merged_decont_1.fastq.gz,MHS429_merged_decont_2.fastq.gz
MHS366,MHS366_merged_decont_1.fastq.gz,MHS366_merged_decont_2.fastq.gz
MHS441,MHS441_merged_decont_1.fastq.gz,MHS441_merged_decont_2.fastq.gz
MHS440,MHS440_merged_decont_1.fastq.gz,MHS440_merged_decont_2.fastq.gz
MHS368,MHS368_merged_decont_1.fastq.gz,MHS368_merged_decont_2.fastq.gz
MHS593,MHS593_merged_decont_1.fastq.gz,MHS593_merged_decont_2.fastq.gz
MHS367,MHS367_merged_decont_1.fastq.gz,MHS367_merged_decont_2.fastq.gz
