feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	source
COG3290	Ch_RNA	Ch_RNA	3.61658359933534	0.670688103996705	82	27	1.55888130318426e-6	1.7588069228807187e-4	bacteria
COG0383	Ch_RNA	Ch_RNA	2.07361273539631	0.38421739885557	82	60	1.60474544770901e-6	1.7588069228807187e-4	bacteria
3P6N3	Ch_RNA	Ch_RNA	-2.07296355030938	0.383677341211949	82	7	1.62382635695854e-6	1.7588069228807187e-4	fungi
32YXE	Ch_RNA	Ch_RNA	2.11919325403077	0.394838070503911	82	56	1.7558538644368e-6	1.8629967839197802e-4	bacteria
3NXQF	Ch_RNA	Ch_RNA	-1.71137345745898	0.320212018858912	82	32	1.81518099839393e-6	1.8656941259911455e-4	fungi
COG0335	Ch_RNA	Ch_RNA	-1.42481514954194	0.266579557004875	82	81	1.83016734805825e-6	1.8656941259911455e-4	bacteria
COG0097	Ch_RNA	Ch_RNA	-1.6207128702714	0.303810915026005	82	80	1.88649703227126e-6	1.8861342443804387e-4	bacteria
COG0087	Ch_RNA	Ch_RNA	-1.4523376077733	0.273736375343583	82	81	2.10489935260088e-6	2.0647871196550897e-4	bacteria
COG0629	Ch_RNA	Ch_RNA	-1.4683125180167	0.277507999315512	82	82	2.21686364841429e-6	2.1343470570566467e-4	bacteria
COG0256	Ch_RNA	Ch_RNA	-1.49690289826554	0.283206080029853	82	80	2.281683587597e-6	2.156813267621237e-4	bacteria
COG0100	Ch_RNA	Ch_RNA	-1.46743520120883	0.280368913788901	82	76	2.71560136237864e-6	2.4914787393171163e-4	bacteria
COG0049	Ch_RNA	Ch_RNA	-1.46302902132866	0.279620122394126	82	81	2.73156930450232e-6	2.4914787393171163e-4	bacteria
COG0261	Ch_RNA	Ch_RNA	-1.4253052960673	0.272750350714519	82	80	2.80401980686559e-6	2.513465340671414e-4	bacteria
COG1368	Ch_RNA	Ch_RNA	3.07541840162621	0.590538168824383	82	40	2.94940050082132e-6	2.59897172945255e-4	bacteria
3NX3E	Ch_RNA	Ch_RNA	-1.71673282335627	0.329266911441187	82	12	3.05122198188196e-6	2.6438838473007186e-4	fungi
COG0224	Ch_RNA	Ch_RNA	-1.53133276223041	0.295343407485378	82	77	3.2986672460078802e-06	2.811437870818847e-4	bacteria
COG0080	Ch_RNA	Ch_RNA	-1.42396015986171	0.275944690821518	82	79	3.5203170841399e-6	2.951956212974732e-4	bacteria
COG0255	Ch_RNA	Ch_RNA	-1.46234477419484	0.283807355231843	82	78	3.62959393066626e-6	2.9952791818307754e-4	bacteria
3P7M7	Ch_RNA	Ch_RNA	-1.72890694804661	0.334073895001289	82	7	3.78629372477671e-6	3.0757720429865803e-4	fungi
COG0292	Ch_RNA	Ch_RNA	-1.45450426835282	0.283442242528314	82	73	3.92264677631976e-6	3.137513936936374e-4	bacteria
COG0197	Ch_RNA	Ch_RNA	-1.43745639683993	0.281744902784417	82	80	4.35596813580362e-6	3.431314899703488e-4	bacteria
COG0211	Ch_RNA	Ch_RNA	-1.41016431231825	0.278669902263262	82	74	5.02387513401279e-6	3.8983771375720143e-4	bacteria
COG0090	Ch_RNA	Ch_RNA	-1.34487345353562	0.266510445064712	82	82	5.36731710530716e-6	4.10362965154293e-4	bacteria
COG0091	Ch_RNA	Ch_RNA	-1.30492637754707	0.259156100479009	82	81	5.58074850590492e-6	4.204972678579663e-4	bacteria
COG0103	Ch_RNA	Ch_RNA	-1.3955899281923	0.27826736207139	82	81	5.98100014883127e-6	4.442174253396253e-4	bacteria
3P3Z6	Ch_RNA	Ch_RNA	-1.54156504258206	0.307887926531038	82	34	6.09445485653443e-6	4.4626860280454233e-4	fungi
COG2519	Ch_RNA	Ch_RNA	1.89813483762153	0.37926979430774	82	58	6.51964859196317e-6	4.707729587446738e-4	bacteria
COG4175	Ch_RNA	Ch_RNA	2.1223312400971	0.424751109147756	82	60	6.67291587939397e-6	4.752395843420445e-4	bacteria
COG0222	Ch_RNA	Ch_RNA	-1.42968285390494	0.289524694778035	82	79	7.80952375619343e-6	5.434430328429397e-4	bacteria
3NYHI	Ch_RNA	Ch_RNA	-1.81519338911001	0.367640513310107	82	35	7.83962828682833e-6	5.434430328429397e-4	fungi
3310N	Ch_RNA	Ch_RNA	1.79590336010368	0.36539254523556	82	55	8.57049183116509e-6	5.792349387926414e-4	bacteria
COG0815	Ch_RNA	Ch_RNA	2.0126458842944	0.408208116563948	82	56	8.58692393914404e-6	5.792349387926414e-4	bacteria
COG0264	Ch_RNA	Ch_RNA	-1.33945961731258	0.272859833316925	82	82	8.69019527328833e-6	5.792349387926414e-4	bacteria
COG0201	Ch_RNA	Ch_RNA	-1.36836829844378	0.279679514053624	82	80	9.15009658021307e-6	6.021690141838955e-4	bacteria
COG0836	Ch_RNA	Ch_RNA	1.8756441521475	0.38301599337247	82	57	9.51107185126966e-6	6.18100781934387e-4	bacteria
COG3075	Ch_RNA	Ch_RNA	1.8583211557805701	0.379865405665003	82	53	9.65726919050189e-6	6.198536113755474e-4	bacteria
3NU3J	Ch_RNA	Ch_RNA	-1.78797248960103	0.377928038570961	82	43	9.77712504267663e-6	6.198935743521439e-4	fungi
COG3033	Ch_RNA	Ch_RNA	1.85081758564881	0.379644512098584	82	57	1.00875450315437e-5	6.31869236373442e-4	bacteria
COG4652	Ch_RNA	Ch_RNA	1.84677309302041	0.379139431939428	82	51	1.0534071911356e-5	6.51983807942141e-4	bacteria
COG2311	Ch_RNA	Ch_RNA	1.86611476000253	0.385625952229969	82	59	1.15061011127373e-5	7.037672904131908e-4	bacteria
COG4114	Ch_RNA	Ch_RNA	1.58054100979887	0.328020595093872	82	48	1.24181972399366e-5	7.507233424468649e-4	bacteria
COG2216	Ch_RNA	Ch_RNA	1.968356760282	0.408812992910666	82	62	1.26937382360883e-5	7.585602883841732e-4	bacteria
COG0098	Ch_RNA	Ch_RNA	-1.42970051458955	0.29816236869807	82	81	1.28762667563403e-5	7.607239871160593e-4	bacteria
2Z83I	Ch_RNA	Ch_RNA	1.9414383904137	0.404452774353595	82	61	1.32783627713333e-5	7.756652589681104e-4	bacteria
COG0450	Ch_RNA	Ch_RNA	-1.39952588209099	0.292504758843837	82	80	1.35738801205853e-5	7.841178082991442e-4	bacteria
COG0092	Ch_RNA	Ch_RNA	-1.32376248322141	0.277326507614144	82	82	1.40590502053473e-5	8.032198023912155e-4	bacteria
COG0093	Ch_RNA	Ch_RNA	-1.43863856295119	0.302615275377731	82	80	1.49670434170794e-5	8.300095787270467e-4	bacteria
332S7	Ch_RNA	Ch_RNA	1.5419612567033	0.323856436505361	82	52	1.50282858079007e-5	8.300095787270467e-4	bacteria
COG4467	Ch_RNA	Ch_RNA	2.37631984889151	0.500474866757757	82	17	1.5073415988167e-5	8.300095787270467e-4	bacteria
COG0088	Ch_RNA	Ch_RNA	-1.17283923034053	0.246770486446948	82	82	1.51665531792786e-5	8.300095787270467e-4	bacteria
3PM6V	Ch_RNA	Ch_RNA	-1.98552951702148	0.416672722286785	82	38	1.56935166752276e-5	8.499020124427947e-4	fungi
3NTW9	Ch_RNA	Ch_RNA	-1.49480770170916	0.315870068043037	82	41	1.72438215798816e-5	9.242332824103551e-4	fungi
COG3393	Ch_RNA	Ch_RNA	2.07075774367956	0.439558510079753	82	66	1.76473571573869e-5	9.362103047066785e-4	bacteria
3P20Z	Ch_RNA	Ch_RNA	-1.7894364394315	0.383503960800105	82	40	1.88212230948565e-5	9.883993825268581e-4	fungi
COG0048	Ch_RNA	Ch_RNA	-1.2377743215944	0.264303052214818	82	79	1.92315677321257e-5	9.998492063932152e-4	bacteria
